[2022-07-14 16:46:18] [INFO] => Числа : (1, 9) и аргументы: {}
[2022-07-14 16:48:04] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 16:49:43] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 16:50:47] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 16:51:29] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 16:52:13] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 16:52:56] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 17:00:43] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 17:08:20] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 17:09:41] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 17:10:04] [INFO] => Числа : (1, -6) и аргументы: {}
[2022-07-14 17:10:18] [INFO] => Числа : (1, -6) и аргументы: {}
